"x","freq"
"3306",1
"3307",1
"3308",1
"3311",1
"3313",1
"3316",1
"3317",1
"3319",1
"3320",1
"3322",1
"3323",1
"3324",1
"3325",1
"3326",1
"3328",1
"3329",1
"3331",1
"3335",1
"3343",1
"3346",1
"3347",1
"3349",1
"3351",1
"3352",1
"3357",1
"3358",2
"3359",1
"3362",1
"3363",1
"3365",1
"3367",1
"3370",1
"3372",1
"3373",1
"3374",1
"3376",1
"3378",1
"3380",1
"3382",1
"3383",1
"3385",1
"3387",2
"3425",1
"3426",1
"3427",1
"3428",1
"3429",1
"3431",1
"3433",1
"3434",1
"3436",1
"3440",1
"3443",1
"3444",1
"3445",1
"3447",1
"3450",1
"3451",1
"3453",1
"3454",1
"3455",1
"3456",1
"3458",1
"3460",1
"3461",1
"3465",1
"3466",1
"3467",1
"3468",1
"3471",1
"3472",1
"3473",1
"3777",1
"3778",1
"3923",1
"3924",1
"3925",1
"3926",1
"4098",1
"4099",1
"4101",1
"4102",1
"4103",1
"4104",1
"4113",1
"4114",1
"4115",2
"4116",1
"4117",1
"4143",1
"4146",1
"4148",1
"4151",1
"4153",1
"4154",1
"4158",1
"4159",1
"4160",1
"4161",1
"4162",1
"4163",1
"4164",1
"4165",1
"4166",1
"4167",1
"4169",1
"4170",1
"4173",1
"4174",1
"4176",1
"4177",1
"4325",1
"4326",1
"4327",1
"4329",1
"4330",1
"4331",1
"4332",1
"4334",1
"4335",1
"4337",1
"4338",1
"4340",1
"4341",1
"4342",1
"4343",1
"4344",1
"4345",1
"4346",1
"4347",1
"4349",1
"4351",1
"4352",1
"4353",1
"4354",1
"4355",1
"4617",1
"4619",2
"4620",2
"4621",1
"4622",2
"4634",1
"4635",1
"4636",1
"4637",1
"4638",1
"4639",1
"4640",1
"4641",1
"4642",1
"4643",1
"4644",1
"4688",1
"4690",1
"4691",1
"4693",1
"4694",1
"4696",1
"4697",1
"4698",1
"4699",1
"4700",2
"4701",1
"4703",1
"4706",1
"4707",1
"4710",1
"4712",2
"4713",1
"4714",1
"4718",1
"4756",1
"4758",1
"4759",1
"4760",1
"4761",1
"4762",1
"4763",1
"4765",1
"4766",1
"4768",1
"4769",1
"4770",1
"4771",1
"4774",1
"4775",1
"4776",1
"4777",1
"4781",1
"4782",1
"4784",1
"4787",1
"4789",1
"4790",1
"4795",1
"4797",1
"4798",1
"4799",1
"4801",1
"4803",1
